Countries,"Budget balance forecast, 2023",Global rank,Available data
Grenada,2.66,1,2000 - 2028
Ireland,2.25,2,1997 - 2028
Cyprus,1.31,3,1995 - 2028
Singapore,0.68,4,1997 - 2028
Denmark,0.55,5,1986 - 2028
Sweden,0.43,6,1993 - 2028
Switzerland,0.35,7,1983 - 2028
Suriname,0.34,8,2002 - 2028
Georgia,0.33,9,2004 - 2028
Bosnia & Herz.,0.17,10,2000 - 2028
South Korea,0.17,11,1995 - 2028
Thailand,-0.46,12,1995 - 2028
Taiwan,-0.48,13,1980 - 2028
Canada,-0.49,14,1980 - 2028
Luxembourg,-0.52,15,1995 - 2028
Barbados,-0.9,16,1994 - 2028
Angola,-1.05,17,2002 - 2028
Serbia,-1.14,18,2005 - 2028
Portugal,-1.44,19,1995 - 2028
Chile,-1.64,20,2001 - 2028
Israel,-1.77,21,2000 - 2028
Kazakhstan,-1.87,22,2002 - 2028
Belarus,-1.94,23,2010 - 2028
Italy,-1.97,24,1988 - 2028
Uruguay,-1.99,25,2000 - 2028
Peru,-2.22,26,2000 - 2028
Finland,-2.23,27,1980 - 2028
Mauritius,-2.32,28,1986 - 2028
Guatemala,-2.33,29,1995 - 2028
Netherlands,-2.34,30,1980 - 2028
Austria,-2.47,31,1991 - 2028
Indonesia,-2.55,32,2004 - 2028
Croatia,-2.78,33,2000 - 2028
Greece,-2.78,34,1988 - 2028
Hungary,-2.89,35,2000 - 2028
Slovakia,-2.89,36,1995 - 2028
Hong Kong,-2.91,37,1985 - 2028
Panama,-2.96,38,1996 - 2028
Bulgaria,-3.18,39,2000 - 2028
Germany,-3.22,40,1991 - 2028
Australia,-3.25,41,1990 - 2028
Paraguay,-3.29,42,2002 - 2028
Latvia,-3.33,43,2002 - 2028
Guyana,-3.51,44,2000 - 2028
Costa Rica,-3.54,45,1996 - 2028
Estonia,-3.54,46,2000 - 2028
El Salvador,-3.58,47,2000 - 2028
Argentina,-3.67,48,1993 - 2028
Czechia,-3.67,49,1995 - 2028
Colombia,-3.69,50,2000 - 2028
Iceland,-3.74,51,1980 - 2028
Domin. Rep.,-4.01,52,1997 - 2028
Mexico,-4.07,53,1997 - 2028
Spain,-4.19,54,1995 - 2028
Slovenia,-4.27,55,1996 - 2028
UK,-4.28,56,1981 - 2028
Philippines,-4.29,57,1990 - 2028
Poland,-4.39,58,1995 - 2028
New Zealand,-4.5,59,1995 - 2028
Lithuania,-4.53,60,2005 - 2028
France,-4.6,61,1980 - 2028
Tunisia,-4.61,62,1991 - 2028
Jordan,-4.68,63,1999 - 2028
Morocco,-4.88,64,2000 - 2028
Malta,-5.03,65,2000 - 2028
Malaysia,-5.11,66,1991 - 2028
Belgium,-5.2,67,1981 - 2028
Romania,-5.43,68,2004 - 2028
Turkey,-5.68,69,2000 - 2028
Russia,-5.88,70,1999 - 2028
Japan,-6.35,71,1994 - 2028
South Africa,-6.35,72,2000 - 2028
China,-6.39,73,1995 - 2028
USA,-6.59,74,2001 - 2028
Norway,-6.81,75,1980 - 2028
Egypt,-7.66,76,2006 - 2028
India,-8.87,77,1996 - 2028
Brazil,-9.03,78,2000 - 2028
