Countries,"Economic growth forecast, 2023",Global rank,Available data
Macao,58.9,1,2002 - 2028
Guyana,37.22,2,1980 - 2028
Libya,17.54,3,1980 - 2028
Palau,8.7,4,2001 - 2028
Senegal,8.29,5,1980 - 2028
Maldives,7.23,6,1980 - 2028
Fiji,6.99,7,1980 - 2028
DR Congo,6.32,8,1980 - 2028
Ivory Coast,6.2,9,1980 - 2028
Rwanda,6.19,10,1980 - 2028
Niger,6.13,11,1980 - 2028
Ethiopia,6.11,12,1980 - 2028
Philippines,6.03,13,1980 - 2028
St. Vincent & ...,6,14,1980 - 2028
Benin,5.99,15,1980 - 2028
India,5.89,16,1980 - 2028
Cambodia,5.82,17,1988 - 2028
Vietnam,5.76,18,1980 - 2028
Uganda,5.7,19,1980 - 2028
Gambia,5.62,20,1980 - 2028
Ireland,5.58,21,1980 - 2028
Guinea,5.56,22,1980 - 2028
Ant.& Barb.,5.53,23,1980 - 2028
Armenia,5.5,24,1993 - 2028
Bangladesh,5.5,25,1981 - 2028
Togo,5.5,26,1980 - 2028
Kenya,5.28,27,1980 - 2028
Uzbekistan,5.26,28,1993 - 2028
China,5.24,29,1980 - 2028
Tanzania,5.21,30,1980 - 2028
Samoa,5.02,31,1980 - 2028
Venezuela,5.02,32,1980 - 2024
Mali,5,33,1980 - 2028
Mozambique,5,34,1980 - 2028
Panama,5,35,1980 - 2028
Tajikistan,5,36,1993 - 2028
Indonesia,4.95,37,1980 - 2028
Barbados,4.9,38,1980 - 2028
Burkina Faso,4.89,39,1980 - 2028
Dominica,4.86,40,1980 - 2028
Bhutan,4.68,41,1980 - 2028
Mauritius,4.61,42,1980 - 2028
G.-Bissau,4.5,43,1981 - 2028
Mongolia,4.5,44,1980 - 2028
Paraguay,4.5,45,1980 - 2028
Malaysia,4.48,46,1980 - 2028
Mauritania,4.41,47,1992 - 2028
Cape Verde,4.4,48,1980 - 2028
Nepal,4.4,49,1980 - 2028
Liberia,4.35,50,2001 - 2028
Cameroon,4.32,51,1980 - 2028
Kazakhstan,4.27,52,1993 - 2028
Tuvalu,4.27,53,2001 - 2028
Bahamas,4.26,54,1980 - 2028
Domin. Rep.,4.25,55,1980 - 2028
Madagascar,4.17,56,1980 - 2028
R. of Congo,4.09,57,1980 - 2028
Djibouti,4,58,1992 - 2028
Zambia,4,59,1980 - 2028
Georgia,3.98,60,1995 - 2028
Laos,3.97,61,1980 - 2028
Seychelles,3.92,62,1980 - 2028
Botswana,3.74,63,1980 - 2028
Egypt,3.73,64,1980 - 2028
Papua N.G.,3.7,65,1980 - 2028
Honduras,3.69,66,1980 - 2028
Iraq,3.67,67,1999 - 2028
Grenada,3.66,68,1980 - 2028
Chad,3.55,69,1980 - 2028
Kyrgyzstan,3.55,70,1993 - 2028
UA Emirates,3.52,71,1980 - 2028
Angola,3.49,72,1980 - 2028
Hong Kong,3.47,73,1980 - 2028
Vanuatu,3.46,74,1980 - 2028
Malta,3.45,75,2001 - 2028
Thailand,3.41,76,1980 - 2028
Guatemala,3.4,77,1980 - 2028
Burundi,3.34,78,1980 - 2028
Brunei,3.26,79,1986 - 2028
Nigeria,3.23,80,1991 - 2028
Montenegro,3.2,81,2001 - 2028
Tr.&Tobago,3.18,82,1980 - 2028
Sierra Leone,3.09,83,1980 - 2028
Saudi Arabia,3.06,84,1980 - 2028
Nicaragua,3.02,85,1980 - 2028
Comoros,3.01,86,1980 - 2028
Azerbaijan,3,87,1993 - 2028
Bahrain,3,88,1980 - 2028
Saint Lucia,3,89,1980 - 2028
Gabon,2.99,90,1981 - 2028
Morocco,2.97,91,1980 - 2028
Belize,2.96,92,1980 - 2028
Ecuador,2.88,93,1980 - 2028
Israel,2.87,94,1980 - 2028
Eritrea,2.85,95,1993 - 2028
Micronesia,2.84,96,1996 - 2028
Swaziland,2.81,97,1980 - 2028
Somalia,2.8,98,2012 - 2028
Namibia,2.78,99,1991 - 2028
Costa Rica,2.74,100,1980 - 2028
Jordan,2.7,101,1980 - 2028
Turkey,2.67,102,1980 - 2028
Algeria,2.64,103,1980 - 2028
Greece,2.6,104,1980 - 2028
Burma,2.58,105,1999 - 2028
Cyprus,2.52,106,1980 - 2028
C.A. Republic,2.51,107,1980 - 2028
Solomon Isl.,2.51,108,1980 - 2028
Tonga,2.51,109,1980 - 2028
Zimbabwe,2.5,110,1999 - 2028
Kiribati,2.47,111,1980 - 2028
El Salvador,2.44,112,1980 - 2028
Qatar,2.42,113,1980 - 2028
Malawi,2.4,114,1980 - 2028
Peru,2.4,115,1980 - 2028
Romania,2.4,116,1980 - 2028
Suriname,2.35,117,1980 - 2028
Turkmenistan,2.33,118,1993 - 2028
Iceland,2.26,119,1980 - 2028
Albania,2.25,120,1980 - 2028
Lesotho,2.22,121,1980 - 2028
Jamaica,2.2,122,1980 - 2028
Norway,2.15,123,1980 - 2028
Taiwan,2.1,124,1980 - 2028
Iran,2.05,125,1980 - 2028
Moldova,2.01,126,1993 - 2028
S.T.&Principe,2.01,127,1980 - 2028
Uruguay,2.01,128,1980 - 2028
Bosnia & Herz.,2,129,1997 - 2028
Serbia,2,130,1999 - 2028
Mexico,1.82,131,1980 - 2028
Bolivia,1.8,132,1980 - 2028
Croatia,1.7,133,1993 - 2028
Oman,1.66,134,1980 - 2028
Ghana,1.62,135,1980 - 2028
Slovenia,1.62,136,1993 - 2028
Australia,1.6,137,1980 - 2028
USA,1.58,138,1980 - 2028
Aruba,1.55,139,1987 - 2028
South Korea,1.51,140,1980 - 2028
Spain,1.51,141,1980 - 2028
Singapore,1.5,142,1980 - 2028
Canada,1.45,143,1980 - 2028
Bulgaria,1.41,144,1980 - 2028
North Macedonia,1.4,145,1993 - 2028
Tunisia,1.33,146,1980 - 2028
Andorra,1.3,147,2001 - 2028
Japan,1.3,148,1980 - 2028
Slovakia,1.3,149,1994 - 2028
San Marino,1.22,150,1998 - 2028
Sudan,1.2,151,1980 - 2028
Luxembourg,1.1,152,1980 - 2028
New Zealand,1.07,153,1980 - 2028
Netherlands,1.03,154,1981 - 2028
Portugal,1,155,1980 - 2028
Colombia,0.96,156,1980 - 2028
Brazil,0.92,157,1980 - 2028
Kuwait,0.91,158,1980 - 2028
Switzerland,0.83,159,1980 - 2028
Belarus,0.71,160,1993 - 2028
Russia,0.71,161,1993 - 2028
Belgium,0.7,162,1980 - 2028
France,0.7,163,1980 - 2028
Italy,0.65,164,1980 - 2028
Hungary,0.55,165,1980 - 2028
Pakistan,0.46,166,1980 - 2028
Austria,0.44,167,1980 - 2028
Latvia,0.4,168,1993 - 2028
Puerto Rico,0.4,169,1981 - 2028
Poland,0.32,170,1980 - 2028
Haiti,0.3,171,1980 - 2028
Argentina,0.2,172,1980 - 2028
South Africa,0.1,173,1980 - 2028
Finland,0.05,174,1980 - 2028
Germany,-0.11,175,1980 - 2028
UK,-0.25,176,1980 - 2028
Lithuania,-0.27,177,1996 - 2028
Sweden,-0.48,178,1980 - 2028
Czechia,-0.5,179,1996 - 2028
Yemen,-0.5,180,1991 - 2028
Chile,-0.99,181,1980 - 2028
Estonia,-1.2,182,1994 - 2028
Eq. Guinea,-1.82,183,1980 - 2028
Ukraine,-3,184,1993 - 2023
Sri Lanka,-3.05,185,1980 - 2028
