Countries,"Inflation forecast, 2023",Global rank,Available data
Venezuela,249.98,1,1985 - 2024
Zimbabwe,181.75,2,2009 - 2028
Argentina,88.04,3,1998 - 2028
Sudan,65.26,4,1991 - 2028
Turkey,45,5,1986 - 2028
Iran,35,6,1990 - 2028
Haiti,31.23,7,1982 - 2028
Sierra Leone,30,8,1981 - 2028
Ghana,29.45,9,1981 - 2028
Ethiopia,28.82,10,1981 - 2028
Suriname,28.2,11,1991 - 2028
Pakistan,27.44,12,1980 - 2028
Egypt,26.79,13,1980 - 2028
Malawi,23.28,14,1981 - 2028
Ukraine,20,15,1993 - 2023
Yemen,20,16,1995 - 2028
Nigeria,18.14,17,1996 - 2028
Sri Lanka,15.21,18,1980 - 2028
Angola,12.3,19,1981 - 2028
Uzbekistan,11.95,20,1993 - 2028
Turkmenistan,11.34,21,1994 - 2028
Kazakhstan,11.3,22,1993 - 2028
Burma,11.08,23,1998 - 2028
Gambia,10.36,24,1981 - 2028
Tunisia,10.32,25,1991 - 2028
Kyrgyzstan,10.03,26,1993 - 2028
S.T.&Principe,10.03,27,1981 - 2028
Mongolia,9.5,28,1991 - 2028
Belarus,9.46,29,1993 - 2028
Madagascar,9.33,30,1981 - 2028
Azerbaijan,9,31,1993 - 2028
Czechia,8.8,32,1996 - 2028
Mauritius,8.74,33,1981 - 2028
Colombia,8.38,34,1980 - 2028
DR Congo,8.32,35,1981 - 2028
Serbia,8.2,36,1998 - 2028
Bangladesh,8.1,37,1980 - 2028
Zambia,8.04,38,1981 - 2028
Algeria,8,39,1980 - 2028
Mauritania,8,40,1991 - 2028
Moldova,8,41,1993 - 2028
Guinea,7.52,42,1987 - 2028
Romania,7.5,43,1991 - 2028
Uganda,7.36,44,1982 - 2028
Poland,7.16,45,1985 - 2028
Nepal,7.1,46,1981 - 2028
Montenegro,7.03,47,2000 - 2028
Uruguay,7,48,1980 - 2028
Hungary,6.83,49,1989 - 2028
Iceland,6.66,50,1980 - 2028
Mozambique,6.66,51,1981 - 2028
Tajikistan,6.5,52,1993 - 2028
Kenya,6.49,53,1980 - 2028
Honduras,6.39,54,1980 - 2028
Guatemala,6.36,55,1980 - 2028
Slovakia,6.36,56,1994 - 2028
Liberia,6.32,57,1999 - 2028
Iraq,6.27,58,2000 - 2028
Russia,6.25,59,1993 - 2028
Palau,6.2,60,2001 - 2028
Nicaragua,6.13,61,1995 - 2028
Guyana,6.01,62,1980 - 2028
Botswana,6,63,1981 - 2028
Tuvalu,5.9,64,2001 - 2028
Tonga,5.86,65,1983 - 2028
Sweden,5.8,66,1980 - 2028
Cameroon,5.7,67,1981 - 2028
Lithuania,5.66,68,1996 - 2028
Austria,5.62,69,1980 - 2028
Lesotho,5.6,70,1981 - 2028
Estonia,5.5,71,1995 - 2028
Jamaica,5.5,72,1980 - 2028
Samoa,5.5,73,1986 - 2028
Eq. Guinea,5.48,74,1981 - 2028
Armenia,5.46,75,1993 - 2028
Singapore,5.45,76,1980 - 2028
Bosnia & Herz.,5.4,77,1997 - 2028
Brazil,5.4,78,1981 - 2028
South Africa,5.33,79,1981 - 2028
Finland,5.3,80,1980 - 2028
Swaziland,5.23,81,1981 - 2028
Papua N.G.,5.2,82,1984 - 2028
Maldives,5.1,83,1992 - 2028
Mexico,5.03,84,1981 - 2028
Chile,5.01,85,1980 - 2028
