Countries,"Investment forecast, 2023",Global rank,Available data
Vanuatu,50.53,1,2003 - 2028
Bhutan,50.36,2,1980 - 2028
China,43.99,3,1980 - 2028
Mongolia,43.9,4,1980 - 2028
Senegal,40.85,5,1980 - 2028
Iran,40,6,1980 - 2028
Cape Verde,39.65,7,1980 - 2028
Uzbekistan,38.45,8,1992 - 2028
Tanzania,37.52,9,1980 - 2028
Ant.& Barb.,37.15,10,2014 - 2028
Mozambique,36.87,11,1980 - 2028
Nepal,35.97,12,1980 - 2028
Algeria,35.7,13,1980 - 2028
Brunei,35,14,1995 - 2028
Panama,34.73,15,1980 - 2028
St. Vincent & ...,34.56,16,2014 - 2028
Bahrain,33.83,17,1980 - 2028
Niger,32.99,18,1980 - 2028
Palau,32.66,19,2000 - 2028
Vietnam,32.6,20,1980 - 2028
India,32.44,21,1980 - 2028
Burma,32.29,22,1998 - 2028
Uganda,32.13,23,1984 - 2028
South Korea,31.69,24,1980 - 2028
Paraguay,31.61,25,1980 - 2028
Zambia,31.55,26,1980 - 2028
Bangladesh,31.25,27,1981 - 2028
Mauritania,31.24,28,1990 - 2028
Turkey,31,29,1980 - 2028
Gabon,30.37,30,1980 - 2028
S.T.&Principe,29.93,31,2001 - 2028
Botswana,29.92,32,1980 - 2028
Domin. Rep.,29.75,33,1980 - 2028
Indonesia,29.74,34,1980 - 2028
Rwanda,28.93,35,1980 - 2028
Solomon Isl.,28.79,36,1980 - 2028
Chad,28.61,37,1980 - 2028
Croatia,28.47,38,1992 - 2028
R. of Congo,28.46,39,1980 - 2028
Benin,28.19,40,1980 - 2028
Romania,28.16,41,1980 - 2028
Sri Lanka,27.98,42,1980 - 2028
Taiwan,27.84,43,1980 - 2028
Czechia,27.81,44,1995 - 2028
Morocco,27.68,45,1980 - 2028
Estonia,27.66,46,1993 - 2028
Djibouti,27.58,47,1990 - 2028
Ivory Coast,27.54,48,1980 - 2028
Ireland,27.42,49,1980 - 2028
Belgium,27.26,50,1980 - 2028
Sweden,27.21,51,1980 - 2028
Burkina Faso,26.74,52,1980 - 2028
Saudi Arabia,26.59,53,1980 - 2028
Finland,26.44,54,1980 - 2028
Israel,26.31,55,1980 - 2028
UA Emirates,26.3,56,1980 - 2028
New Zealand,26.29,57,1980 - 2028
Togo,26.27,58,1980 - 2028
Burundi,26.11,59,1980 - 2028
Switzerland,26.11,60,1980 - 2028
Albania,25.94,61,1980 - 2028
Japan,25.94,62,1980 - 2028
Lithuania,25.8,63,1995 - 2028
Seychelles,25.75,64,1980 - 2028
Thailand,25.61,65,1980 - 2028
Austria,25.52,66,1980 - 2028
Grenada,25.5,67,2014 - 2028
Madagascar,25.32,68,1980 - 2028
Denmark,25.29,69,1980 - 2028
Moldova,25.29,70,1992 - 2028
Peru,25.16,71,1980 - 2028
Kazakhstan,25.13,72,1992 - 2028
Singapore,25.12,73,1980 - 2028
Cambodia,25,74,1986 - 2028
Ethiopia,24.96,75,1980 - 2028
Chile,24.83,76,1981 - 2028
Bosnia & Herz.,24.78,77,1998 - 2028
France,24.66,78,1980 - 2028
Serbia,24.66,79,1997 - 2028
Philippines,24.59,80,1980 - 2028
Honduras,24.5,81,1980 - 2028
Montenegro,24.4,82,2000 - 2028
Malaysia,24.32,83,1980 - 2028
Belarus,24.23,84,1993 - 2028
Angola,24.22,85,1980 - 2028
Malta,24.09,86,1980 - 2028
Kyrgyzstan,24.03,87,1992 - 2028
Nicaragua,24.03,88,1991 - 2028
Slovenia,23.95,89,1992 - 2028
Hungary,23.83,90,1980 - 2028
Germany,23.75,91,1980 - 2028
Oman,23.5,92,1980 - 2028
Lesotho,23.28,93,1980 - 2028
Canada,23.26,94,1980 - 2028
Armenia,23.25,95,1992 - 2028
Australia,23.24,96,1980 - 2028
Russia,23.22,97,1992 - 2028
Bahamas,23.12,98,1980 - 2028
Poland,23.06,99,1984 - 2028
Ecuador,22.93,100,1980 - 2028
Gambia,22.67,101,1980 - 2028
Saint Lucia,22.65,102,2014 - 2028
Iceland,22.56,103,1980 - 2028
Tajikistan,22.55,104,1992 - 2028
Latvia,22.42,105,1992 - 2028
Greece,22.16,106,1980 - 2028
Nigeria,22.14,107,1990 - 2028
Norway,21.94,108,1980 - 2028
Belize,21.92,109,1980 - 2028
San Marino,21.82,110,2000 - 2028
Italy,21.76,111,1980 - 2028
Mexico,21.37,112,1980 - 2028
Netherlands,21.23,113,1980 - 2028
